channel	next-check	is-live	status-code	time	viewers	likes	dislikes	video_c
TV Rain	1599407246.482309	True	200	1599407216.3442726	50276	28211	1502	0
Соловьёв LIVE	1599407247.0280738	True	200	1599407216.8655984	13714	1775	188	0
TV Rain	1599407277.5645201	True	200	1599407247.4164822	50222	28223	1503	0
Соловьёв LIVE	1599407278.1195679	True	200	1599407247.968567	14097	1817	194	0
TV Rain	1599407308.5956864	True	200	1599407278.49855	50153	28256	1507	0
Соловьёв LIVE	1599407309.1661067	True	200	1599407279.016199	14411	1848	203	0
TV Rain	1599407339.6930485	True	200	1599407309.5394418	49856	28566	1521	0
Соловьёв LIVE	1599407340.219592	True	200	1599407310.0657024	14693	1882	209	0
TV Rain	1599407370.7051387	True	200	1599407340.5632255	49096	28648	1522	0
Соловьёв LIVE	1599407371.2077138	True	200	1599407341.0586812	15077	1911	215	0
TV Rain	1599407401.7410533	True	200	1599407371.6247678	49137	28680	1524	0
Соловьёв LIVE	1599407402.3055665	True	200	1599407372.155669	15111	1950	220	0
TV Rain	1599407448.592472	True	200	1599407418.4764395	49255	28705	1527	0
Соловьёв LIVE	1599407449.0439947	True	200	1599407418.9149683	15252	1990	224	0
TV Rain	1599407479.567058	True	200	1599407449.444064	49157	28731	1529	0
Соловьёв LIVE	1599407480.0795891	True	200	1599407449.9185643	15414	2020	226	0
TV Rain	1599407510.5839703	True	200	1599407480.483003	48768	28759	1532	0
Соловьёв LIVE	1599407511.1375299	True	200	1599407480.9865453	15784	2042	234	0
TV Rain	1599407541.6979206	True	200	1599407511.580035	48615	28790	1533	0
Соловьёв LIVE	1599407542.2553163	True	200	1599407512.1453276	16097	2077	240	0
