clientId	timestamp	photo	authorName	message	value	is-member	channelId	channel	channel_name	video
CNeHyvCN6-sCFQLYVQodlIIOBw7	1600172793833694	https://yt3.ggpht.com/-Eu-5nz8uIlc/AAAAAAAAAAI/AAAAAAAAAAA/4OzIvzGQ6oA/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Собака Павлова	Лобков, сопи тише 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CPz4_uGS6-sCFV7CTwgdtbwGkg1600172793127	1600172794690645	https://yt3.ggpht.com/-ND4n28s_1LQ/AAAAAAAAAAI/AAAAAAAAAAA/yGTI4-rrrZg/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Райса Абубакирова	Лукашенко. и. Путин. в отставку пока 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CLWu_LKS6-sCFcm7VQodydkECg3	1600172798286035	https://yt3.ggpht.com/-Chcfth2Kd1w/AAAAAAAAAAI/AAAAAAAAAAA/xW45YbvtqJ4/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Антон	не бойтесь , у лукаша еать автомат , нас защитит от европы 🤟🥵 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CO7PwPaR6-sCFZNJmwodqh4Phw1600172797956	1600172799027834	https://yt3.ggpht.com/-0VVGjHDxHDc/AAAAAAAAAAI/AAAAAAAAAAA/f4dW0aNpZ-Y/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Гузял Труфанова	Ну у Путина так заведено, начало в долг,в. потом подарю.нам нет такой возможности подарить 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CPGBkZON6-sCFSmIfAodkc8IqQ2	1600172802885158	https://yt3.ggpht.com/-UEcrVjdgMOs/AAAAAAAAAAI/AAAAAAAAAAA/j94hgKSDNlQ/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	любовь кузнецова	польша,руки прочь от Беларуси! 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
COXLyZ-P6-sCFZJasgodD7YOZQ1	1600172809371260	https://yt3.ggpht.com/-hCCZDMlgdOI/AAAAAAAAAAI/AAAAAAAAAAA/p6tYsokXLDg/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Мария М	Лукашеску сидит как мальчик 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CPPBlO2S6-sCFUipxAodz7ELdA-2	1600172809536033	https://yt3.ggpht.com/-CvpnVA3UoN8/AAAAAAAAAAI/AAAAAAAAAAA/bOWMkqNHDyE/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	2sport4life US	Да пусть лучше запад «освоит Беларусь», чем это сделает Путин и его шайка!!!! После них - выжженная земля!(((( 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CIrix_-T6-sCFYrIXAod-lcAfA1600172809178	1600172811546650	https://yt3.ggpht.com/-MRABZ-pZ_10/AAAAAAAAAAI/AAAAAAAAAAA/HODHRRWxhc8/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Павел русский	учения в Белоруссии 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CPzemMqT6-sCFQNcsgod3eMHAQ1600172810828	1600172811321915	https://yt3.ggpht.com/-aRNCn13AWbM/AAAAAAAAAAI/AAAAAAAAAAA/KNvUu45-m9I/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Yan Nikiforov	Может подавится Белорусью и загнется? Хорошо бы 🖒 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CISOxIKP6-sCFY0O4AodgkIPxw1600172811739	1600172811941639	https://yt3.ggpht.com/-AtfF36IKlMA/AAAAAAAAAAI/AAAAAAAAAAA/DQlQAeFphzU/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Рудик177 Алмаев	ХОРОШ СОПЕТЬ ТАК 😅😅😅 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
